Date_reported,Country_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days
2025-03-02,AFG,AFGHANISTAN,EMR,,,,
2025-03-02,ALB,ALBANIA,EUR,,,,
2025-03-02,DZA,ALGERIA,AFR,,,,
2025-03-02,ASM,AMERICAN SAMOA,WPR,,,,
2025-03-02,AND,ANDORRA,EUR,,,,
2025-03-02,AGO,ANGOLA,AFR,,,,
2025-03-02,AIA,ANGUILLA,AMR,,,,
2025-03-02,ATG,ANTIGUA AND BARBUDA,AMR,,,,
2025-03-02,ARG,ARGENTINA,AMR,13,,88,
2025-03-02,ARM,ARMENIA,EUR,,,,
2025-03-02,ABW,ARUBA,AMR,,,,
2025-03-02,AUS,AUSTRALIA,WPR,,6,,27
2025-03-02,AUT,AUSTRIA,EUR,,,,
2025-03-02,AZE,AZERBAIJAN,EUR,,,,
2025-03-02,BHS,BAHAMAS,AMR,,,,
2025-03-02,BHR,BAHRAIN,EMR,,,,
2025-03-02,BGD,BANGLADESH,SEAR,,,,
2025-03-02,BRB,BARBADOS,AMR,,,,
2025-03-02,BLR,BELARUS,EUR,,,,
2025-03-02,BEL,BELGIUM,EUR,,,,
2025-03-02,BLZ,BELIZE,AMR,,,,
2025-03-02,BEN,BENIN,AFR,,,,
2025-03-02,BMU,BERMUDA,AMR,,,,
2025-03-02,BTN,BHUTAN,SEAR,,,,
2025-03-02,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,,,,
2025-03-02,BES,"BONAIRE, SINT EUSTATIUS AND SABA",AMR,,,,
2025-03-02,BIH,BOSNIA AND HERZEGOVINA,EUR,,,,
2025-03-02,BWA,BOTSWANA,AFR,,,,
2025-03-02,BRA,BRAZIL,AMR,35,9,545,166
2025-03-02,VGB,BRITISH VIRGIN ISLANDS,AMR,0,0,0,0
2025-03-02,BRN,BRUNEI DARUSSALAM,WPR,0,0,1,0
2025-03-02,BGR,BULGARIA,EUR,,,,
2025-03-02,BFA,BURKINA FASO,AFR,,,,
2025-03-02,BDI,BURUNDI,AFR,,,,
2025-03-02,CPV,CABO VERDE,AFR,,,,
2025-03-02,KHM,CAMBODIA,WPR,,,,
2025-03-02,CMR,CAMEROON,AFR,,,,
2025-03-02,CAN,CANADA,AMR,,,,
2025-03-02,CYM,CAYMAN ISLANDS,AMR,,,,
2025-03-02,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
2025-03-02,TCD,CHAD,AFR,,,,
2025-03-02,CHL,CHILE,AMR,8,2,28,12
2025-03-02,CHN,CHINA,WPR,,,,
2025-03-02,COL,COLOMBIA,AMR,139,0,404,0
2025-03-02,COM,COMOROS,AFR,,,,
2025-03-02,COG,CONGO,AFR,,,,
2025-03-02,COK,COOK ISLANDS,WPR,,,,
2025-03-02,CRI,COSTA RICA,AMR,0,0,34,3
2025-03-02,CIV,CÔTE D’IVOIRE,AFR,,,,
2025-03-02,HRV,CROATIA,EUR,,,,
2025-03-02,CUB,CUBA,AMR,,,,
2025-03-02,CUW,CURAÇAO,AMR,,,,
2025-03-02,CYP,CYPRUS,EUR,,,,
2025-03-02,CZE,CZECHIA,EUR,20,2,59,2
2025-03-02,PRK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,SEAR,,,,
2025-03-02,COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFR,,,,
2025-03-02,DNK,DENMARK,EUR,46,,232,
2025-03-02,DJI,DJIBOUTI,EMR,,,,
2025-03-02,DMA,DOMINICA,AMR,,,,
2025-03-02,DOM,DOMINICAN REPUBLIC,AMR,,,,
2025-03-02,ECU,ECUADOR,AMR,,,11,1
2025-03-02,EGY,EGYPT,EMR,,,,
2025-03-02,SLV,EL SALVADOR,AMR,,,,
2025-03-02,GNQ,EQUATORIAL GUINEA,AFR,,,,
2025-03-02,ERI,ERITREA,AFR,,,,
2025-03-02,EST,ESTONIA,EUR,,,,
2025-03-02,SWZ,ESWATINI,AFR,,,,
2025-03-02,ETH,ETHIOPIA,AFR,,,,
2025-03-02,FLK,FALKLAND ISLANDS (MALVINAS),AMR,,,,
2025-03-02,FRO,FAROE ISLANDS,EUR,,,,
2025-03-02,FJI,FIJI,WPR,,,,
2025-03-02,FIN,FINLAND,EUR,,,,
2025-03-02,FRA,FRANCE,EUR,1,1,15,18
2025-03-02,GUF,FRENCH GUIANA,AMR,,,,
2025-03-02,PYF,FRENCH POLYNESIA,WPR,,,,
2025-03-02,GAB,GABON,AFR,,,,
2025-03-02,GMB,GAMBIA,AFR,,,,
2025-03-02,GEO,GEORGIA,EUR,,,,
2025-03-02,DEU,GERMANY,EUR,,,,
2025-03-02,GHA,GHANA,AFR,,,,
2025-03-02,GIB,GIBRALTAR,EUR,,,,
2025-03-02,GRC,GREECE,EUR,153,3,637,7
2025-03-02,GRL,GREENLAND,EUR,,,,
2025-03-02,GRD,GRENADA,AMR,,,,
2025-03-02,GLP,GUADELOUPE,AMR,,,,
2025-03-02,GUM,GUAM,WPR,,,,
2025-03-02,GTM,GUATEMALA,AMR,0,0,0,0
2025-03-02,GGY,GUERNSEY,EUR,,,,
2025-03-02,GIN,GUINEA,AFR,,,,
2025-03-02,GNB,GUINEA-BISSAU,AFR,,,,
2025-03-02,GUY,GUYANA,AMR,,,0,0
2025-03-02,HTI,HAITI,AMR,0,0,0,0
2025-03-02,VAT,HOLY SEE,EUR,,,,
2025-03-02,HND,HONDURAS,AMR,,,,
